Ave. Age Classification,Word Count,Sentence Count,Ave. Word Length,Ave. Sentence Length,Total Syllables,Noun-Token Ratio,Verb-Token Ratio,Type-Token Ratio,Root TTR,Corrected TTR,Bilogarithmic TTR,Lexical Density ,FW-Token Ratio
10,973,85,5.216380182,13.82352941,2096,0.2129144852,0.1134380454,0.009598603839,0.3249379052,0.2297657962,0.3404151156,0.4031413613,0.01745200698
10,937,95,5.048167539,12.10526316,2018,0.1719457014,0.1031674208,0.009954751131,0.3309112607,0.2339895964,0.3421849225,0.4126696833,0.02171945701
9,900,72,4.793478261,15.09722222,1844,0.136999068,0.1053122088,0.01025163094,0.335809381,0.2374530905,0.3436259423,0.367194781,0.03355079217
12,1279,97,4.959199384,16.31958763,2596,0.1926174497,0.1,0.007382550336,0.2849702681,0.201504409,0.3281851732,0.4053691275,0.01543624161
9,876,75,4.849498328,14.05333333,1824,0.1951923077,0.1038461538,0.01057692308,0.3410955201,0.2411909553,0.3451710896,0.3884615385,0.001923076923
12,1177,137,5.007531381,10.88321168,2491,0.1781767956,0.1049723757,0.007596685083,0.2890735822,0.2044058902,0.3294745138,0.3819060773,0.01657458564
9,1601,120,5.328449328,15.81666667,3610,0.1750547046,0.1433260394,0.00601750547,0.2572791483,0.1819238305,0.3192520804,0.4075492341,0.004376367615
12,1365,132,4.945165945,12.39393939,2896,0.1910828025,0.1343949045,0.007006369427,0.2776149558,0.1963034178,0.3258527483,0.4076433121,0.01210191083
10,975,92,4.995983936,12.34782609,2089,0.1458885942,0.1396993811,0.009725906278,0.3270855684,0.2312844234,0.3410530339,0.4164456233,0.002652519894
9,552,69,4.984210526,10.23188406,1177,0.1298507463,0.1298507463,0.01641791045,0.4249670751,0.3004971006,0.368494381,0.3746268657,0.007462686567